date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
6/18/2015,se,221,17250,1Taqw1VEHl8Gy9qAZtRLAq,['Ted Gärdestad'],"['classic swedish pop', 'swedish pop']",200333,FALSE,"Oh, vilken härlig da'"
1/14/2021,ee,153,4999,0MIBWudfsucvPMwCjVCuQz,"['Genka', 'DEW8']","['estonian hip hop', 'estonian electronic', 'estonian pop']",279609,TRUE,Plastikust Käpikud
9/28/2017,dk,32,241463,27qFFBH6c4v3fQ2DwDCqBA,['Skinz'],"['danish pop', 'danish hip hop']",191940,TRUE,Jaloux
3/17/2022,za,105,31199,0vh5pc4h2acnwSukUts8hE,"['Soa Mattrix', 'DJ Maphorisa']","['amapiano', 'south african pop', 'afro soul']",411073,FALSE,Dropline
7/23/2020,ar,195,179883,5Zxq7UC7Iqv9pfZdq3rAcQ,['Fer Palacio'],"['pop argentino', 'cumbia pop', 'previa', 'rkt']",242406,FALSE,Jangueox
10/26/2014,global,188,908049,7w87IxuO7BDcJ3YUqCyMTT,['Foster The People'],"['rock', 'indietronica', 'modern rock']",239600,FALSE,Pumped Up Kicks
9/6/2018,id,138,122706,3LvqyAObZSOjkmG0gVgtao,"['Bunga Citra Lestari', 'JFlow']",['indonesian pop'],240909,FALSE,Dance Tonight - Asian Games 2018 Official Song
12/22/2016,de,82,442346,155gviDIiuVwXkjVB8GOFQ,['Maxwell'],['german hip hop'],143820,TRUE,Goldene Zeiten
4/2/2020,dk,47,161089,4OX02iKVaZDO2QdOA7HHr4,['The Minds Of 99'],"['danish pop', 'danish rock', 'danish alternative rock', 'danish post-punk']",217632,FALSE,"Big City, Bright Lights"
8/6/2015,is,200,1292,3T7Dil6DmABypEgSrKrLnv,['Bubbi Morthens'],"['icelandic pop', 'classic icelandic pop', 'icelandic singer-songwriter', 'icelandic rock']",324568,FALSE,Afgan
7/4/2019,cl,99,227232,5suqjbw9bF0T1X3HU1oG1v,"['Bryant Myers', 'Alex Rose']","['latin hip hop', 'reggaeton', 'trap latino', 'reggaeton flow']",201858,FALSE,Bandolera
2/11/2016,it,192,35730,4rWK6vudoc74vFn8xrvu26,['Luca Carboni'],"['classic italian pop', 'italian adult pop', 'bow pop']",228520,FALSE,Bologna è una regola
3/29/2018,it,11,904353,2F9IRegRhaAFfSuYF03N90,"['Samuel Heron', 'Sick Luke']","['trap italiana', 'italian hip hop']",136339,FALSE,Napapijri (Feat. ???)
3/2/2017,se,51,411892,3FtVPxBNvwtRksGhN4oKQz,['Ace Wilder'],"['eurovision', 'europop']",176946,FALSE,Wild Child
12/1/2022,se,169,157519,2DrdtzLtzFMVNHXPXNySNN,['Theoz'],['swedish idol pop'],198000,FALSE,Julmusiken
5/13/2021,za,196,18578,5yB71xZPaT6V2d5yM8TQlB,['Shekhinah'],"['south african pop', 'south african pop dance', 'afro soul']",106046,FALSE,Not Safe (intro)
5/10/2018,co,187,32961,6cXhFE4IB59Z1AzdxHhadY,"['J Balvin', 'Michael Brun']","['raboday', 'trap latino', 'progressive electro house', 'reggaeton', 'reggaeton colombiano']",173173,FALSE,Positivo
1/11/2018,global,155,4262251,2u7mxWSeoqTXndK5e08jMp,"['Lil Skies', 'Landon Cube']","['vapor trap', 'melodic rap', 'sad rap', 'rap', 'trap', 'emo rap']",203907,TRUE,Nowadays (feat. Landon Cube)
12/14/2014,global,167,1173293,7aXuop4Qambx5Oi3ynsKQr,"['Usher', 'Juicy J']","['pop rap', 'crunk', 'gangster rap', 'southern hip hop', 'pop', 'urban contemporary', 'contemporary r&b', 'trap', 'south carolina hip hop', 'r&b', 'dirty south rap', 'dance pop', 'atl hip hop', 'memphis hip hop', 'hip hop', 'rap']",251989,TRUE,I Don't Mind (feat. Juicy J)
2/8/2018,global,179,4014642,7uYgVgRSgqluZclLS7wpp4,"['Ozuna', 'Romeo Santos']","['puerto rican pop', 'trap latino', 'bachata', 'reggaeton']",258000,FALSE,El Farsante - Remix
5/27/2021,is,136,7132,0J6WXcQ52yXn5tThiO1e1W,['Vincent Bueno'],[],175555,FALSE,Amen
5/28/2015,it,197,14389,6J10rOtl5kLRzvNqlIoUPr,['Guè'],['italian hip hop'],229213,TRUE,Squalo
9/6/2018,tw,174,20512,6UiQFxMYJgILcLTjLrO0OQ,['Troye Sivan'],"['pop', 'dance pop', 'viral pop', 'australian pop']",218350,FALSE,Seventeen
7/16/2020,my,144,53173,2YDyTKJR752piT5DLInrCq,"['Joe Flizzow', 'Azlan & The Typewriter']","['singaporean hip hop', 'malaysian pop', 'malaysian hip hop', 'malay rap', 'malaysian indie']",219826,FALSE,KUASA
9/9/2021,ar,177,222349,6szg6z5MWZKiojwcu5hRNX,['Panther'],['trap argentino'],168000,FALSE,Estoy Bien
5/16/2019,es,153,250271,5vLEmh5EolySKTvXsyWSOg,"['GIMS', 'Maluma']","['rap conscient', 'reggaeton colombiano', 'francoton', 'french hip hop', 'trap latino', 'reggaeton']",206853,FALSE,Hola Señorita
